Leveyshaku: avoin 80x80, reitti löytyy
pituus	boolean	nodet	A*	BFS
80	27607	8754	3139	3838
80	6313	4321	323	2015
80	3337	3067	164	1905
80	3244	1379	228	1864
80	3716	1349	165	2865
80	3273	832	71	1501
80	4046	975	51	1601
80	2103	1203	70	766
80	2729	1494	87	844
80	2793	1578	66	734
80	2426	1851	104	1076
80	2367	1721	68	412
80	2455	1910	79	870
80	3095	1950	66	468
80	2700	1828	67	698
80	2715	1109	119	531
80	1865	1241	271	749
80	1772	1030	90	489
80	1765	1235	67	493
80	1322	770	54	203
70	1364	2740	42	203
70	1119	1000	56	349
70	1793	992	61	349
70	1859	1019	64	307
70	1997	994	88	359
70	1785	1045	63	441
70	1851	994	67	341
70	1613	1024	56	310
70	1559	1001	52	341
70	1482	1031	55	376
70	1474	1047	81	356
70	1894	1047	71	381
70	1433	1061	60	338
70	1402	1046	59	395
70	1363	1110	67	367
70	1462	1022	59	368
70	1395	1035	52	348
70	1411	1020	76	337
70	1261	1022	57	402
70	1365	1083	78	325
60	1378	1105	42	321
60	3006	1035	49	332
60	1210	1012	38	333
60	1351	1048	38	322
60	1298	989	37	312
60	1334	1100	46	330
60	1173	1078	42	313
60	1253	1159	45	321
60	1371	1108	41	339
60	1296	1104	38	327
60	1328	1038	45	500
60	1326	1099	35	322
60	1281	1078	35	350
60	1335	1107	34	299
60	1414	1111	82	317
60	1289	1103	31	311
60	1305	1037	35	328
60	1350	1087	33	308
60	1369	1023	29	334
60	1298	1088	34	337
50	971	741	18	186
50	1064	754	17	178
50	877	868	23	160
50	1299	1042	23	181
50	1153	777	25	166
50	794	733	36	176
50	819	741	19	182
50	918	740	21	179
50	781	749	20	164
50	769	732	18	373
50	747	772	19	171
50	857	758	20	189
50	777	741	17	187
50	763	742	19	179
50	834	739	19	189
50	830	733	16	164
50	861	757	25	166
50	782	733	15	193
50	819	723	15	190
50	740	739	24	166
40	773	748	17	115
40	1012	945	19	111
40	805	725	11	120
40	801	781	16	127
40	1092	742	51	123
40	798	750	29	125
40	727	759	13	110
40	768	776	13	137
40	806	738	14	130
40	814	768	15	115
40	804	752	14	144
40	1198	738	15	122
40	774	730	15	132
40	755	747	14	130
40	1217	1051	22	253
40	1361	1087	24	162
40	944	750	13	126
40	803	733	13	138
40	769	757	16	140
40	926	881	15	135
30	788	749	11	75
30	725	754	9	74
30	682	738	9	72
30	800	722	9	73
30	753	896	11	69
30	994	741	11	108
30	892	881	11	63
30	819	731	8	70
30	796	892	38	69
30	1123	744	34	74
30	744	883	8	97
30	987	730	6	69
30	748	871	7	58
30	884	761	7	83
30	813	890	7	73
30	1011	720	6	102
30	815	871	6	56
30	959	743	6	104
30	1020	887	8	93
30	887	912	8	101
IDA*: avoin 80x80, reitti löytyy
pituus	boolean	nodet	A*	BFS
80	1235	982	25	833
80	744	881	22	211
80	760	721	23	181
80	931	745	23	131
80	820	893	26	133
80	744	747	23	135
80	719	750	22	133
80	978	744	21	133
80	738	729	24	130
80	847	760	24	165
80	747	746	22	102
80	786	735	23	43
80	704	758	21	47
80	738	743	22	59
80	710	743	21	43
80	710	756	23	45
80	786	739	21	77
80	1190	1060	27	72
80	1004	750	24	115
80	729	743	21	40
70	693	749	17	20
70	761	742	18	24
70	671	736	17	20
70	1032	895	19	49
70	1175	1039	23	31
70	1472	1053	22	28
70	1090	1089	21	41
70	970	1034	22	22
70	617	726	16	11
70	629	709	16	10
70	586	723	16	11
70	545	728	18	10
70	571	715	27	11
70	651	728	16	10
70	558	725	16	11
70	654	761	17	13
70	817	856	19	12
70	666	806	16	11
70	601	720	16	11
70	791	762	16	12
60	669	726	14	10
60	642	733	13	16
60	665	771	12	10
60	737	810	13	14
60	676	762	13	11
60	801	744	14	11
60	688	720	14	11
60	635	2537	15	13
60	643	746	13	11
60	591	804	15	11
60	666	725	14	11
60	626	744	13	10
60	637	757	20	11
60	562	750	13	11
60	670	728	13	10
60	662	715	13	10
60	652	734	13	11
60	778	720	13	11
60	623	732	13	11
60	637	732	13	15
50	618	729	10	11
50	567	721	10	10
50	558	722	10	18
50	895	724	10	12
50	686	750	10	11
50	592	730	9	9
50	596	713	11	10
50	724	752	11	10
50	606	769	10	12
50	647	743	11	10
50	584	730	9	10
50	648	743	12	20
50	843	721	11	10
50	606	774	10	11
50	697	720	10	9
50	542	747	10	9
50	582	894	11	10
50	557	732	12	10
50	536	734	10	10
50	647	720	9	17
40	629	737	7	11
40	590	737	7	9
40	615	746	7	9
40	627	709	7	8
40	621	711	6	9
40	574	822	8	9
40	601	751	7	9
40	600	742	7	9
40	577	737	7	9
40	601	722	6	20
40	582	731	6	9
40	621	882	7	8
40	668	737	6	8
40	603	732	7	8
40	644	715	7	8
40	590	850	6	8
40	690	735	6	8
40	601	899	7	8
40	744	736	7	8
40	593	837	7	8
30	710	706	4	7
30	608	853	5	7
30	736	722	4	9
30	669	871	6	8
30	709	740	5	8
30	598	838	5	7
30	723	710	4	7
30	614	878	5	7
30	598	857	4	29
30	779	906	7	18
30	612	876	5	6
30	562	726	5	6
30	603	847	4	6
30	803	718	4	7
30	593	845	4	6
30	859	723	4	6
30	914	876	5	7
30	704	721	5	6
30	588	856	5	5
30	1187	824	5	8

Leveyshaku: avoin 80x80, takaa-ajo
156
