Leveyshaku: sokkelo 20x20, reitti löytyy
boolean	nodet	A*	BFS
23302	1712	2172	1023
1692	140	188	286
1092	147	223	162
1014	139	213	109
926	142	92	126
1148	135	104	78
919	133	83	78
851	127	80	86
775	124	79	79
769	128	41	80
738	127	28	60
818	125	27	59
629	125	27	59
608	126	27	62
632	126	28	59
543	126	27	59
807	130	32	59
586	126	31	58
519	126	28	59
497	124	28	58

Leveyshaku: sokkelo 40x40, reitti löytyy
boolean	nodet	A*	BFS
1440	487	165	145
1117	485	138	170
1052	641	122	160
882	501	121	146
870	487	124	148
1213	502	121	154
846	144	116	136
631	152	112	135
690	127	131	161
624	277	122	149
734	134	152	142
672	134	120	142
636	133	123	143
810	131	122	144
660	132	130	141
657	133	99	151
627	130	86	161
677	131	88	141
596	130	86	154
649	132	85	142

Leveyshaku: sokkelo 80x80, reitti löytyy
boolean	nodet	A*	BFS
2492	510	382	2383
2863	804	380	1782
2747	508	304	1448
2202	512	284	1656
2156	505	283	1971
2263	783	314	598
1987	720	301	641
2022	716	321	466
2188	948	326	451
2359	690	306	474
1423	746	305	458
1838	703	301	618
1223	715	313	464
1209	710	309	409
1220	698	293	402
1155	704	298	467
1190	715	299	618
1115	705	392	670
1142	722	320	490
1134	714	332	772

Leveyshaku: sokkelo 20x20, takaa-ajo
boolean	nodet	A*	BFS
366	39	31	25
296	35	28	24
262	35	29	23
301	34	28	23
254	138	57	23
263	33	26	22
231	33	30	22
231	33	31	104
434	34	28	22
233	146	27	22
232	32	27	21
224	33	29	22
229	32	26	22
223	33	26	21
295	158	28	21
244	33	26	109
255	33	30	22
230	32	26	22
402	33	27	24
300	33	28	23

Leveyshaku: sokkelo 40x40, takaa-ajo
boolean	nodet	A*	BFS
442	118	108	102
474	117	108	97
450	112	109	96
2347	162	160	175
634	115	107	99
688	145	159	194
387	116	112	94
349	112	94	100
369	110	97	96
352	111	94	74
373	112	93	59
328	113	97	57
351	110	94	60
389	112	98	60
352	125	115	82
505	140	110	60
393	127	94	61
364	112	95	60
339	114	98	60
338	113	124	84

Leveyshaku: sokkelo 80x80, takaa-ajo
boolean	nodet	A*	BFS
853	449	459	355
938	441	339	338
934	441	309	336
950	437	331	342
913	434	302	325
922	426	312	330
896	432	298	330
817	438	300	330
859	442	293	338
862	560	314	328
1022	433	293	322
841	431	333	320
755	432	293	320
806	455	298	325
768	439	305	304
893	440	308	367
1360	604	413	516
1324	611	426	517
1430	625	407	503
1346	597	381	489


IDA*: sokkelo 20x20, reitti löytyy
boolean	nodet	A*	IDA*
354	45	11	712
304	42	10	19
234	42	10	23
228	42	10	19
233	42	10	30
255	41	10	19
253	41	10	20
347	41	9	19
242	40	9	19
237	39	9	35
257	39	9	21
232	39	9	22
237	39	10	20
210	43	10	22
208	40	9	39
238	39	9	21
209	39	9	20
222	40	10	19
205	40	9	20
202	40	9	18

IDA*: sokkelo 40x40, reitti löytyy
boolean	nodet	A*	IDA*
410	159	58	68
412	168	57	62
411	177	57	68
490	152	57	63
567	166	55	17
457	160	58	29
396	165	57	18
378	160	58	22
415	163	58	19
435	158	56	19
409	158	57	18
413	155	56	18
415	165	63	17
415	158	59	20
438	140	53	20
2306	148	56	16
446	136	40	11
327	109	38	10
288	104	37	11
279	114	41	10

IDA*: sokkelo 80x80, reitti löytyy
boolean	nodet	A*	IDA*
666	433	172	15
708	419	178	14
660	411	186	15
720	429	183	39
728	422	191	14
679	418	176	15
681	422	188	22
716	421	173	10
693	416	182	11
699	436	179	12
769	425	184	15
761	422	207	10
699	428	171	10
649	419	170	10
682	431	165	10
626	408	165	9
703	418	165	13
707	416	239	10
645	439	177	10
667	422	223	10

IDA*: sokkelo 20x20, takaa-ajo
boolean	nodet	A*	IDA*
191	28	12	2
139	27	12	2
136	27	11	2
134	27	11	2
136	26	10	2
134	26	10	2
148	26	10	2
138	26	10	2
134	26	9	2
136	26	9	2
134	26	10	2
210	26	10	2
158	26	10	7
159	27	9	2
172	25	10	2
162	26	9	2
232	32	13	4
216	35	16	4
170	27	11	2
153	27	10	2

IDA*: sokkelo 40x40, takaa-ajo
boolean	nodet	A*	IDA*
274	112	70	5
273	110	66	4
245	110	77	6
281	104	63	5
243	102	70	5
274	106	65	4
284	103	62	4
228	120	76	8
369	104	62	5
314	107	62	4
243	102	64	4
241	103	62	4
239	113	82	5
245	103	62	4
243	105	86	5
252	101	62	4
244	101	63	5
244	103	62	4
246	104	62	4
242	106	64	8

IDA*: sokkelo 80x80, takaa-ajo
boolean	nodet	A*	IDA*
615	419	341	8
672	414	321	8
700	409	317	10
742	422	347	9
740	424	327	9
635	423	320	29
677	414	324	12
702	436	322	3
672	436	324	3
727	414	326	3
657	447	324	3
744	407	322	3
668	441	349	3
783	419	327	3
660	441	333	4
849	430	337	4
805	444	327	4
717	408	323	3
710	411	360	3
722	434	323	3
